Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
a2.A2Tests,a:tests,A2Tests,a:tests,main,main,none,none,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,trace.grader.basics.GraderBasicsTraceUtility,grader:basics:trace:utility,setMaxTraces,set:max:traces
a2.A2Tests,a:tests,A2Tests,a:tests,main,main,none,none,grader.basics.execution.BasicProjectExecution,basic:project:execution,grader.basics.execution.BasicProjectExecution,basic:project:execution,setProcessTimeOut,set:process:time:out
a2.A2Tests,a:tests,A2Tests,a:tests,main,main,none,none,gradingTools.comp524f21.assignment2.F21Assignment2Suite,assignment:suite,gradingTools.comp524f21.assignment2.F21Assignment2Suite,assignment:suite,main,main
a2.AbstractModel,abstract:model,AbstractModel,abstract:model,addPropertyChangeListener,add:property:change:listener,none,none,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,addPropertyChangeListener,add:property:change:listener
a2.AbstractModel,abstract:model,AbstractModel,abstract:model,setLevels,set:levels,none,none,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
a2.AbstractModel,abstract:model,AbstractModel,abstract:model,setLevels,set:levels,none,none,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
a2.AbstractModel,abstract:model,AbstractModel,abstract:model,setLevels,set:levels,none,none,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
a2.AbstractModel,abstract:model,AbstractModel,abstract:model,setLevels,set:levels,none,none,java.beans.PropertyChangeSupport,property:change:support,java.beans.PropertyChangeSupport,property:change:support,firePropertyChange,fire:property:change
a2.ClassifierFactory,factory,@SocialDistanceClassifierFactory,social:distance:factory,getSingleton,get:singleton,none,none,weka.classifiers.trees.J48,none,weka.classifiers.trees.J48,none,J48,none
a2.ClassifierFactory,factory,@SocialDistanceClassifierFactory,social:distance:factory,getSingleton,get:singleton,none,none,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,gradingTools.comp524f20.assignment1.WekaUtil,weka:util,buildTreeModel,build:tree:model
a2.ViewFactory,view:factory,@SocialDistanceViewFactory,social:distance:view:factory,getSingleton,get:singleton,none,none,a2.LogView,log:view,@SocialDistanceView,social:distance:view,LogView,log:view
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getPropertyName,get:property:name
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getPropertyName,get:property:name
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
a2.LogView,log:view,@SocialDistanceView,social:distance:view,propertyChange,property:change,@SocialDistanceView:PropertyChangeListener:EventListener,social:distance:view:property:change:listener:event:listener,java.beans.PropertyChangeEvent,property:change:event,java.beans.PropertyChangeEvent,property:change:event,getPropertyName,get:property:name
